text,likes,retweets,created_at,hashtag
"RT @CompletePantry: This week’s theme is #CHEESE … including #Recipes, tips, uses… #PantryChat #foodies #cooking",0,4,2021-02-16 22:46:52,#cooking
RT @CompletePantry: Q1 What is your favorite COW’s MILK Cheese? By itself or in recipes? #recipes #PantryChat #cheese #cooking #foodies,0,1,2021-02-16 22:46:50,#cooking
RT @CompletePantry: Q2 Do you like GOAT’S MILK Cheese? Which ones? By itself or in recipes? #PantryChat #cheese #foodies #cooking #recipes,0,2,2021-02-16 22:46:40,#cooking
RT @CompletePantry: Q3 SHEEP MILK Cheese? Love it or hate it? By itself or in recipes? #PantryChat #cheese #foodies #recipes #cooking,0,2,2021-02-16 22:46:36,#cooking
Etsy #Etsyshop #Etsyfindings #Terrycloth #Apron #Waistapron #Halfapron #Aqua #Aquamarine #kitchen #cooking Terryclo… https://t.co/nLvAkMPtuI,0,1,2021-02-16 22:46:36,#cooking
RT @CompletePantry: Q4 Gooey and runny…. How do you use gooey cheeses? #PantryChat #cheese #foodies #cooking #recipes,0,3,2021-02-16 22:46:35,#cooking
RT @CompletePantry: Q6 Describe your perfect cheese course…. Do you add nuts? Jams? Raisins? Honey?  #PantryChat #cheese #recipes #foodies…,0,1,2021-02-16 22:46:10,#cooking
@SavageDipoto hell yeah baby we are #cooking some narrative now,0,0,2021-02-16 22:45:28,#cooking
I’m on my second week of Gousto and would highly recommend. Here’s my link to give it a go! Use it to get 50% off y… https://t.co/J2JWKq8XLS,1,0,2021-02-16 22:43:14,#cooking
Given the immensely cold weather I decided I’d take the time to cook a nice spaghetti bolognese to warm my uncle an… https://t.co/MPpGbdkUZ3,3,0,2021-02-16 22:43:03,#cooking
"RT @heworshipseitan: Vegan bacon pizza for single day 😊 
No one to share it with 🥴 #food #cooking #ValentinesDay https://t.co/tDgAvquShJ",0,3,2021-02-16 22:43:02,#cooking
RT @IanRohanMD: Red berry bread and butter pudding this evening #sundayvibes #Bread #cooking #food #homemade https://t.co/3GDhKCty0k,0,1,2021-02-16 22:42:53,#cooking
"RT @GSanosukesama: Today's breakfast is French Toast &amp; Bacon

#FoodForLove #Food #sundayvibes #SundayMorning #SundayMorning #Cooking #朝ごはん…",0,2,2021-02-16 22:42:50,#cooking
"RT @EshaYhna: Always love potato stir fry with black seed. 
#food #Cooking #homecooking #foodies #sundayvibes https://t.co/27QuWwY0Ng",0,3,2021-02-16 22:42:37,#cooking
"RT @McBrideWriter: What am I making?
#food #cooking #baking #foodquiz https://t.co/JxsYNPP5LB",0,9,2021-02-16 22:42:08,#cooking
"#Cooking up something Nice... Slide to the Left for more View

#Sunshine Furnitures   #sunshine🌞 
#Importedword… https://t.co/JchrTZq9O0",1,0,2021-02-16 22:38:10,#cooking
RT @CelesteTsumiki: I had to put some of my shrimp to good use. I made shrimp fried rice. #food #cooking #yummy https://t.co/NbzNQPMmQW,0,1,2021-02-16 22:37:10,#cooking
"RT @FossettLily: Some more food illustration 👌

#illustration #art #design #characterdesign #character #childrensbooks #childrensbookillust…",0,2,2021-02-16 22:36:47,#cooking
Hand carving a walnut tasting spoon with a Hirsch gouge.  #foodstyling #kitchentable #cooking  #handcarving… https://t.co/vM4HGv2AcD,4,1,2021-02-16 22:36:36,#cooking
"Create a meal plan for the coming week ☺️

Type: Cooking 🍳

Participants: 1

Accessibility: 0/1 (zero being the mos… https://t.co/aaNo4Mf2Pp",0,0,2021-02-16 22:36:17,#cooking
"RT @McBrideWriter: I am totally mesmerized by this purple carrot! Isn't it amazing?
#food #cooking #baking https://t.co/aLlyWiZUS0",0,20,2021-02-16 22:36:00,#cooking
"RT @GSanosukesama: For today's breakfast we have chorizo with potatoes skillet 
🥔🥔🥔
#SaturdayMorning #BreakfastTime #Homemade #Cooking #Foo…",0,4,2021-02-16 22:35:53,#cooking
RT @sguetg: Calamarata Pasta with Tomato&amp;Bacon 📍🧑‍🍳🙏🏻 #Cooking #Food https://t.co/aA7uqhdamX,0,11,2021-02-16 22:35:46,#cooking
RT @sguetg: Classic Tomato Penne📍🧑‍🍳🙏🏻🤙🏻 #Cooking #Food https://t.co/OCyolT8jLg,0,18,2021-02-16 22:35:36,#cooking
"RT @HowellWave: #Cooking, Snout Therapy, and an Interview https://t.co/cdTmwkkvSc via @TPolen6",0,4,2021-02-16 22:35:01,#cooking
"RT @I_LOVE_NY: From #cooking to horticulture to #maritime history, check out these #online classes and up your knowledge while supporting y…",0,3,2021-02-16 22:33:50,#cooking
"So I recently bought a cat but it didn’t come with any instructions so I’m asking you guys,anyone know how to cook… https://t.co/oZtCcjfHRY",0,0,2021-02-16 22:33:13,#cooking
RT @organicdishes: Healthy Protein Shake Recipe | Raspberry &amp; Spinach Flavor | Organic Prot... https://t.co/8G9BE42xxZ via @YouTube #organi…,0,1,2021-02-16 22:32:37,#cooking
Healthy Protein Shake Recipe | Raspberry &amp; Spinach Flavor | Organic Prot... https://t.co/8G9BE42xxZ via @YouTube… https://t.co/ofe46YQ1we,6,1,2021-02-16 22:31:43,#cooking
"RT @indigitek: Hey you Mob! 
Every week we have a great team of Indigenous content creators on our Twitch channel bring yarns, gaming, art,…",0,3,2021-02-16 22:31:22,#cooking
"Get going with your day with this #soup #meal | #Vegetarian, Good for the heart, #lactosefree #dish |
#Recipe: Red… https://t.co/Wk9Gnt4Ckr",2,2,2021-02-16 22:30:11,#cooking
"When the power comes back, set the oven to 350, bring it to temp, while grating cheese and dicing fresh onion. Bam.… https://t.co/GszKzC3arC",2,0,2021-02-16 22:29:53,#cooking
Successful day today - made bread and this bad boy Black Forest gateaux!! So yummy. #cake #food #cooking https://t.co/leyz0JxYDV,0,0,2021-02-16 22:27:30,#cooking
"Manual meatgrinder
#offgrid #cooking #kitchen https://t.co/TdqQUoOWaP",0,0,2021-02-16 22:27:22,#cooking
"The NuWave Primo Grill Oven keeps the same powerful convection, conduction, and infrared cooking technology that ol… https://t.co/anY9s8pbdE",0,0,2021-02-16 22:25:02,#cooking
"So, spur of the moment decided we needed a Pound Cake tonight. #cooking #baking #stayathomedad #dad https://t.co/pfH962YutZ",0,0,2021-02-16 22:24:36,#cooking
"RT @McBrideWriter: What am I doing? 
#food #cooking #baking #foodquiz https://t.co/qWLyVEGR0J",0,13,2021-02-16 22:23:39,#cooking
"Hello Friends, 
https://t.co/J092BsQZQE
Aloo gobi [आलू गोभी की सब्जी] is one of the most popular Indian dish where… https://t.co/hRxufGTPlL",1,0,2021-02-16 22:23:15,#cooking
"Hello Friends, 
Please try my recipe 👌 
https://t.co/SlMbnxj1BE
When you are craving for delicious paneer recipe, t… https://t.co/ROytKcob4f",0,0,2021-02-16 22:22:38,#cooking
Delicious Central&gt;&gt;&gt; Try These 5 Smoothies with Almond Milk and See If You Can Taste the Difference… https://t.co/0oxV35iuej,1,0,2021-02-16 22:22:37,#cooking
"Hello Friends, 
Please try my recipe 👌 
https://t.co/6PeQKJ73eh
दम आलू रेसिपी | [ढाबा स्टाइल चटपटा दम आलू रेसिपी] |… https://t.co/xp6IauVPzM",1,0,2021-02-16 22:21:21,#cooking
"Hello friends, 
Please try my recipe 😀 
https://t.co/365InwoCaf

Mumbai’s famous street food is Vada Pav | वडा पाव.… https://t.co/NOCxOZn6RA",1,0,2021-02-16 22:20:34,#cooking
"Hello Friends, 

This is a very simple and interesting Nagpuri Tarri Poha recipe.
https://t.co/WLGg9J3fSs… https://t.co/sgE1o1X0ok",1,0,2021-02-16 22:19:45,#cooking
"Hello Friends,
https://t.co/arCkkN68IA
Kadhai Paneer is fabulous paneer recipe where paneer, peppers and onions are… https://t.co/Xoa83Pv8Pd",1,0,2021-02-16 22:18:38,#cooking
"Is it me, or does shelf-stable avocado salsa sound super sketch? 🥑🤔 #AvocadoSalsa #Avocado #ChefLife #cooking… https://t.co/YVMZJ5LtbC",1,0,2021-02-16 22:16:30,#cooking
RT @estatesaleor: https://t.co/mSk5FkC9h6 The Romagnolis' #Italian #Fish #Cookbook 1994 First Edition Hard Cover Dust Jacket #cooking #cook…,0,4,2021-02-16 22:16:07,#cooking
RT @TheRecipeCookb1: 😍Kakitamajiru (Japanese Egg Drop Soup)😍 - is a delicious homey soup that will warm you right up! Made with dashi broth…,0,6,2021-02-16 22:14:13,#cooking
"This is Mary Berry's other book, it's a bit like Jamie 30 minute meals. Really like it! https://t.co/UGrasCR7HN… https://t.co/xQqNZhWpKV",1,0,2021-02-16 22:14:06,#cooking
"The HLO crew have been working harder after season, bring more content, blogs, recipes, articles, TV shows, podcast… https://t.co/hZGkwPW9v2",0,0,2021-02-16 22:13:02,#cooking
"RT @McBrideWriter: What do you put on pancakes?
🥞🥞🥞❤🥞🥞❤🥞🥞🥞
#food #cooking #baking #foodpoll",0,11,2021-02-16 22:12:17,#cooking
"RT @ChubbieVegan: Gorgeous red lentil and coconut soup with an adapted @800Diet recipe.

Serves 4, at 300kcal each - check out my IG accoun…",0,2,2021-02-16 22:11:57,#cooking
RT @estatesaleor: https://t.co/GGXePMnpXz A TASTE OF TEXAS A COOK BOOK Jane Trahey HC/DJ 1949 Very Good Vintage Condition #cookbookshop #co…,0,19,2021-02-16 22:10:02,#cooking
"RT @McBrideWriter: What am I making?
#food #cooking #foodquiz https://t.co/Fher9i0gMf",0,14,2021-02-16 22:07:13,#cooking
"RT @NaglisMini: HelloFresh Review!

#HelloFresh #Food #Cooking #Review #recipe #foodie #YouTube #YouTuber 

https://t.co/CZaRysxgQo",0,5,2021-02-16 22:06:32,#cooking
"50% OFF Brand New KitchenAid Mixer...

Have you ever seen those words in that order before?

KitchenAid Artisan 5 Q… https://t.co/cbG8cpFhEJ",0,1,2021-02-16 22:06:29,#cooking
"RT @McBrideWriter: What am I making?
#food #cooking #baking #foodquiz https://t.co/JxsYNPP5LB",0,9,2021-02-16 22:06:25,#cooking
"RT @McBrideWriter: What am I doing? 
#food #cooking #baking #foodquiz https://t.co/qWLyVEGR0J",0,13,2021-02-16 22:06:22,#cooking
"RT @McBrideWriter: What am I making?
#food #cooking #foodquiz https://t.co/Fher9i0gMf",0,14,2021-02-16 22:06:18,#cooking
