frequency,bigram/trigram,polarity,subjective
18,tagsignore shirosorashirosora,0.0,0.0
18,sora nogamenolife jibril,0.0,0.0
18,sora nogamenolife,0.0,0.0
18,simply cook,0.0,0.35714285714285715
18,shirosorashirosora sora nogamenolife,0.0,0.0
18,shirosorashirosora sora,0.0,0.0
18,really tasty,0.2,0.2
18,quick easy,0.3833333333333333,0.6666666666666667
18,plantbasedhealing plantbasedhealth,0.0,0.0
18,plantbasedforhealth vegannooil,0.0,0.0
18,plant based,0.0,0.0
18,nogamenolife jibril stephlove,0.0,0.0
18,nogamenolife jibril,0.0,0.0
18,jibril stephlove,0.0,0.0
18,greekfoodlovers dfwfoodies,0.0,0.0
18,grazeboxes greekfoodlovers dfwfoodies,0.0,0.0
18,foodporn foodstagram,0.0,0.0
18,dfwvegan eatlocal eatgreek,0.0,0.0
18,dfwfoodies dfwvegan eatlocal,0.0,0.0
18,dfwfoodies dfwvegan,0.0,0.0
17,wfpblifestyle wfpbdiet,0.0,0.0
17,vegannooil noaddedoil meatfreerecipes,0.0,0.0
17,vegannooil noaddedoil,0.0,0.0
17,treelove tree plant,0.0,0.0
17,treelove tree,0.0,0.0
17,tree plant plant,0.0,0.0
17,tree plant,0.0,0.0
17,tree homejungle homegarden,0.0,0.0
17,soy sauce,0.0,0.0
17,slimmingworld slimmingworlduk,0.0,0.0
17,satay wrap,0.0,0.0
17,salsa verde,0.0,0.0
17,pork noodle,0.0,0.0
17,plantpower wfpblifestyle plantbasedhealing,0.0,0.0
17,plantpower wfpblifestyle,0.0,0.0
17,plantbasedforhealth vegannooil noaddedoil,0.0,0.0
17,noaddedoil meatfreerecipes plantpower,0.0,0.0
17,noaddedoil meatfreerecipes,0.0,0.0
17,meatfreerecipes plantpower wfpblifestyle,0.0,0.0
17,meatfreerecipes plantpower,0.0,0.0
17,iloveplants treelove tree,0.0,0.0
17,iloveplants treelove,0.0,0.0
17,houseplant iloveplants treelove,0.0,0.0
17,gut health,0.0,0.0
17,greekfoodlovers dfwfoodies dfwvegan,0.0,0.0
17,foodporn foodie,0.0,0.0
17,foodie foodlover,0.0,0.0
17,30 first month,0.25,0.3333333333333333
17,30 first,0.25,0.3333333333333333
16,wfpblifestyle wfpbdiet plantbasedonabudget,0.0,0.0
16,wfpbdiet plantbasedonabudget getlivelyinthekitchen,0.0,0.0
16,wfpbdiet plantbasedonabudget,0.0,0.0
16,wfpbd veganfoodblogger plantbasedlifestyle,0.0,0.0
16,wfpbd veganfoodblogger,0.0,0.0
16,veganlunch vegandinner,0.0,0.0
16,veganfoodblogger plantbasedlifestyle justeatplants,0.0,0.0
16,veganfoodblogger plantbasedlifestyle,0.0,0.0
16,teamshape aarmy sportas,0.0,0.0
16,teamshape aarmy,0.0,0.0
16,teamlittlebirds shape fitgirl,0.0,0.0
16,teamlittlebirds shape,0.0,0.0
16,sportas teamlittlebirds shape,0.0,0.0
16,sportas teamlittlebirds,0.0,0.0
16,shape fitgirl beaute,0.0,0.0
16,shape fitgirl,0.0,0.0
16,running ck fit,0.4,0.4
16,running ck,0.0,0.0
16,recipe card,0.0,0.0
16,poweredbyplants plantpower eatmoreplants,0.0,0.0
16,poweredbyplants plantpower,0.0,0.0
16,plantpower eatmoreplants plantkitchen,0.0,0.0
16,plantpower eatmoreplants,0.0,0.0
16,plantbasedwholefood wfpblifestyle wfpbdiet,0.0,0.0
16,plantbasedwholefood wfpblifestyle,0.0,0.0
16,plantbasedonabudget getlivelyinthekitchen wfpbd,0.0,0.0
16,plantbasedonabudget getlivelyinthekitchen,0.0,0.0
16,plantbasedlifestyle justeatplants plantbasedhealthprofessionals,0.0,0.0
16,plantbasedlifestyle justeatplants,0.0,0.0
16,plantbasedhealing plantbasedwholefood wfpblifestyle,0.0,0.0
16,plantbasedhealing plantbasedwholefood,0.0,0.0
16,plantbasedforbeginners poweredbyplants plantpower,0.0,0.0
16,plantbasedforbeginners poweredbyplants,0.0,0.0
16,picoftheday fitnessgirl teamshape,0.0,0.0
16,picoftheday fitnessgirl,0.0,0.0
16,photographie photo running,0.0,0.0
16,photographie photo,0.0,0.0
16,photo running ck,0.0,0.0
16,photo running,0.0,0.0
16,pak choi,0.0,0.0
16,order friday,0.0,0.0
16,meal path,0.0,0.0
16,mashed potato,0.0,0.0
16,lean beef,0.0,0.0
16,justeatplants plantbasedhealthprofessionals,0.0,0.0
16,healthyfood healthyeating,0.0,0.0
16,getlivelyinthekitchen wfpbd veganfoodblogger,0.0,0.0
16,getlivelyinthekitchen wfpbd,0.0,0.0
16,foodstagram foodlover,0.0,0.0
16,fitspo fityourdreams,0.0,0.0
16,fitnessgirl teamshape aarmy,0.0,0.0
16,fitnessgirl teamshape,0.0,0.0
16,fitgirl beaute photographie,0.0,0.0
16,fitgirl beaute,0.0,0.0
16,fit fitspo fityourdreams,0.4,0.4
16,fit fitspo,0.4,0.4
16,first meal,0.25,0.3333333333333333
16,first 30 first,0.25,0.3333333333333333
16,eatmoreplants plantkitchen,0.0,0.0
16,ck fit fitspo,0.4,0.4
16,ck fit,0.4,0.4
16,beaute photographie photo,0.0,0.0
16,beaute photographie,0.0,0.0
16,absolutely delicious,1.0,1.0
16,aarmy sportas teamlittlebirds,0.0,0.0
16,aarmy sportas,0.0,0.0
16,636 881,0.0,0.0
