,term,rank
29699,fresh scrumptious instafood,1.0884402117132517
36680,homecooking instayum,1.0884402117132517
29698,fresh scrumptious,1.0884402117132517
16142,cooking recipe meal,1.0884402117132517
21901,eastern ingredient,1.0884402117132517
46790,meal delicacy dish,1.0884402117132517
12094,cheese burger,1.086003508564481
48534,mindfulchef mindfulchefuk,1.078015319581101
60972,quick easy,1.0718824916247454
26289,first time,1.0661823956896073
62326,red onion,1.054404575636232
69272,speedy sausage pasta,1.0492542140992325
69271,speedy sausage,1.0492542140992325
73631,tbsp olive,1.043203528705999
73632,tbsp olive oil,1.043203528705999
20261,dinner tonight,1.0377439202017265
40255,jualtanamanhias philodendron,1.0353369865031405
73081,tanamannarsis tanamanbikinheppy,1.0353369865031405
4511,aroidsocietyau aroidfanatic aroidaddicts,1.0353369865031405
4500,aroidmania aroidlovers aroidjungle,1.0353369865031405
56997,philodendron calathea,1.0353369865031405
10295,calathea urbanjungleblogger,1.0353369865031405
73082,tanamannarsis tanamanbikinheppy aroidmania,1.0353369865031405
56998,philodendron calathea urbanjungleblogger,1.0353369865031405
78210,urbanjungleblogger urbanjungle plantclubindonesia,1.0353369865031405
40256,jualtanamanhias philodendron calathea,1.0353369865031405
78190,urbanjungle plantclubindonesia,1.0353369865031405
10296,calathea urbanjungleblogger urbanjungle,1.0353369865031405
78191,urbanjungle plantclubindonesia plantshopjakarta,1.0353369865031405
40274,jualtanamanmurah jualtanamanhias philodendron,1.0353369865031405
40273,jualtanamanmurah jualtanamanhias,1.0353369865031405
4499,aroidmania aroidlovers,1.0353369865031405
4487,aroidlovers aroidjungle,1.0353369865031405
73068,tanamanbikinheppy aroidmania,1.0353369865031405
29148,forsale jualtanamanmurah,1.0353369865031405
4474,aroidfanatic aroidaddicts,1.0353369865031405
4475,aroidfanatic aroidaddicts tanamannarsis,1.0353369865031405
73069,tanamanbikinheppy aroidmania aroidlovers,1.0353369865031405
4469,aroidaddicts tanamannarsis tanamanbikinheppy,1.0353369865031405
4468,aroidaddicts tanamannarsis,1.0353369865031405
58174,plantclubindonesia plantshopjakarta plantsofinstagram,1.0353369865031405
58393,plantshopjakarta plantsofinstagram,1.0353369865031405
58394,plantshopjakarta plantsofinstagram aroidsocietyau,1.0353369865031405
29149,forsale jualtanamanmurah jualtanamanhias,1.0353369865031405
58404,plantsofinstagram aroidsocietyau,1.0353369865031405
58405,plantsofinstagram aroidsocietyau aroidfanatic,1.0353369865031405
70801,stndrdissue stndrdissüe stndrdissuenation,1.0329133703735738
70843,stndrdissüe stndrdissuenation,1.0329133703735738
50289,musculation picoftheday,1.0314049664844314
50290,musculation picoftheday fitnessgirl,1.0314049664844314
52183,nomeat antidairy,1.029511788169551
52184,nomeat antidairy lbvegan,1.029511788169551
44339,losangeles la cruelryfree,1.029511788169551
42092,lbvegan longbeachvegan,1.029511788169551
42093,lbvegan longbeachvegan socalvegan,1.029511788169551
58196,plantfood plant,1.029511788169551
44338,losangeles la,1.029511788169551
44164,longbeachvegan socalvegan longbeach,1.029511788169551
44163,longbeachvegan socalvegan,1.029511788169551
44162,longbeach losangeles la,1.029511788169551
44161,longbeach losangeles,1.029511788169551
68404,socalvegan longbeach,1.029511788169551
68405,socalvegan longbeach losangeles,1.029511788169551
4075,antidairy lbvegan,1.029511788169551
4076,antidairy lbvegan longbeachvegan,1.029511788169551
41602,la cruelryfree,1.029511788169551
75605,toasted almond,1.02367531789449
38946,instafood yum homecooking,1.0218671591953759
84792,yum homecooking instayum,1.0218671591953759
84791,yum homecooking,1.0218671591953759
19278,delivery cooking recipe,1.0218671591953759
20642,dish eastern ingredient,1.0218671591953759
20641,dish eastern,1.0218671591953759
20635,dish dish eastern,1.0218671591953759
20794,dishy vwvwupvwupownersvdubdubvagvagalliancevolkswagenupvolkswagenmodsmodifedcarsmodifiedcleanwetdishycarwashmeguiarswashandwax,1.0
27244,followeternalanime datealivekuramidatealivekuramihothothottwintailsanimepetitegirltwoeyecolors,1.0
45175,lunchrosestrawberriescherryteatastily ruslanagluhovanastapaskalenko,1.0
32171,gojuice rescue,1.0
52346,nonsolofitnessnutrition foodspring,1.0
33849,haelthyfood vi,1.0
35631,hellofreshaus bakedbeanswithciabattacroutons,1.0
6157,bbq chicken,0.999984758762844
28628,foodspring healthyfood,0.9988286049961308
66659,shiro sora,0.9958693611203224
70806,stndrdissuefam kimojistyle,0.9904452269403536
70811,stndrdissuefam stndrdissuenation,0.987758056357835
35787,hellofreshpics hellofreshmeals,0.9792236881569574
58899,pork green,0.9787414011690865
58900,pork green bean,0.9787414011690865
78756,veg vegetarian,0.9763499717046247
31820,glutenfree veganfood whatveganseat,0.9731889724005683
79109,veganfood whatveganseat,0.9731889724005683
46415,mashed potato,0.9649855883774109
67187,simply call,0.9621708490787969
12613,chicken pasanda,0.9527815229404958
41392,kurami bungjagoi,0.9514186460575368
79655,vegansofig veganfood,0.9483145972745758
56225,peanut butter,0.945915642987548
42666,let know,0.9446942670884783
43923,loaded wedge,0.9432771602250467
17411,cruelryfree lbc,0.9425988867773437
17412,cruelryfree lbc lbcvegan,0.9425988867773437
42080,lbc lbcvegan,0.9425988867773437
41604,la cruelryfree lbc,0.9425988867773437
35909,hellofreshuk hellofreshpics,0.940269709259327
35027,healthyfood lifestyle,0.9386805809077958
37564,ice cream,0.9354910916374287
27736,foodgasm noida,0.9314823627909975
35002,healthyfood healthyeating,0.9249282089699375
15561,contest influenster,0.9206158876195909
48660,mindfulchefuk mindfulchef,0.9170918456401095
21101,dont forget,0.9132772052775555
72292,sweet sour chicken,0.9107496963471076
68970,sour chicken,0.9107496963471076
28332,foodphotography foodstagram foodblogger,0.9060304424955926
41505,kurami stndrdissue,0.9051609073131776
36733,homedelivery ordernow,0.903205320015397
15213,complimentary influenster,0.8990918705482193
5326,babythestarsshinebright kurami lolitafashion,0.8944271909999157
44078,lolitafashion eglfashion,0.8944271909999157
41467,kurami lolitafashion,0.8944271909999157
41468,kurami lolitafashion eglfashion,0.8944271909999157
5325,babythestarsshinebright kurami,0.8944271909999157
14400,coconut milk,0.8937803146172011
46243,maple syrup,0.8933321494807531
19009,delhi noida,0.8887087232931226
32379,good morning,0.8880135584463318
17454,crueltyfree veganrecipes,0.8847375477351803
80025,vegetarian glutenfree veganfood,0.8847375477351803
78757,veg vegetarian glutenfree,0.8847375477351803
80024,vegetarian glutenfree,0.8847375477351803
28126,foodlover foodphotography,0.88095317714726
70829,stndrdissuenation stndrdissuefam,0.8759679649147863
50547,musuc musculation picoftheday,0.8731661479339241
50546,musuc musculation,0.8731661479339241
69705,sport musuc musculation,0.8731661479339241
62299,red cabbage slaw,0.8713511628079678
62298,red cabbage,0.8713511628079678
10135,cabbage slaw,0.8713511628079678
70808,stndrdissuefam kimojistyle livinglegends,0.8678281192906445
1579,_eazy_a kurami,0.8654745456046902
70840,stndrdissüe stndrdissuefam,0.8652538918347918
70800,stndrdissue stndrdissüe stndrdissuefam,0.8652538918347918
82168,weightloss weightlossjourney,0.8620367718919075
47844,menwithstyle foodspring healthyfood,0.8606832373268196
24977,fashionmen model,0.8606832373268196
7777,bloggerstyle menwithstreetstyle menwithstyle,0.8606832373268196
24645,fahionblogger follow photographer,0.8606832373268196
47746,menfashion mensstyle dapperstyleard,0.8606832373268196
24982,fashionstyle malemodels bloggerstyle,0.8606832373268196
24644,fahionblogger follow,0.8606832373268196
47751,menswear mensweardaily,0.8606832373268196
57139,photographerslife style,0.8606832373268196
38802,instaboy menwithstyle foodspring,0.8606832373268196
27189,follow photographer fashionformen,0.8606832373268196
33884,hairstyle photographerslife style,0.8606832373268196
18418,dapperstyleard menwithclass styleformen,0.8606832373268196
27188,follow photographer,0.8606832373268196
24981,fashionstyle malemodels,0.8606832373268196
42972,lifestyle hairstyle photographerslife,0.8606832373268196
